max_car_agents,tolerance,green_light_duration,Run,average_congestion
124,0,3,342.0,59.306778427108284
124,0,7,343.0,59.862198465218434
82,0,6,344.0,59.51317281059043
34,0,6,345.0,59.51317281059043
82,0,6,346.0,61.473675339822215
82,0,4,347.0,59.51317281059043
82,0,4,348.0,61.473675339822215
34,0,4,349.0,59.51317281059043
34,0,6,350.0,59.306778427108284
34,0,4,351.0,59.306778427108284
104,0,5,352.0,59.306778427108284
57,0,5,353.0,59.306778427108284
104,0,5,354.0,59.51317281059043
104,0,2,355.0,59.51317281059043
104,0,2,356.0,59.51317281059043
57,0,2,357.0,59.306778427108284
57,0,5,358.0,59.306778427108284
57,0,2,359.0,59.51317281059043
194,0,2,360.0,59.306778427108284
147,0,2,361.0,59.862198465218434
194,0,2,362.0,61.473675339822215
194,0,5,363.0,59.862198465218434
194,0,5,364.0,59.306778427108284
147,0,5,365.0,61.473675339822215
147,0,2,366.0,61.473675339822215
147,0,5,367.0,59.306778427108284
149,0,7,368.0,59.51317281059043
102,0,7,369.0,59.306778427108284
149,0,7,370.0,59.51317281059043
149,0,6,371.0,59.51317281059043
149,0,6,372.0,59.51317281059043
102,0,6,373.0,61.473675339822215
102,0,7,374.0,59.306778427108284
102,0,6,375.0,59.51317281059043
59,0,4,376.0,59.862198465218434
192,0,4,377.0,59.51317281059043
59,0,4,378.0,59.862198465218434
59,0,3,379.0,59.51317281059043
59,0,3,380.0,61.473675339822215
192,0,3,381.0,59.51317281059043
192,0,4,382.0,59.51317281059043
192,0,3,383.0,59.51317281059043
48,0,7,384.0,59.51317281059043
135,0,7,385.0,59.306778427108284
48,0,7,386.0,59.51317281059043
48,0,4,387.0,59.306778427108284
48,0,4,388.0,59.51317281059043
135,0,4,389.0,59.306778427108284
135,0,7,390.0,59.306778427108284
135,0,4,391.0,59.51317281059043
138,0,4,392.0,59.862198465218434
45,0,4,393.0,59.51317281059043
138,0,4,394.0,59.306778427108284
138,0,7,395.0,59.51317281059043
138,0,7,396.0,59.306778427108284
45,0,7,397.0,59.862198465218434
45,0,4,398.0,59.306778427108284
45,0,7,399.0,59.51317281059043
183,0,6,400.0,59.306778427108284
180,0,6,401.0,59.306778427108284
183,0,6,402.0,59.306778427108284
183,0,6,403.0,59.306778427108284
183,0,6,404.0,59.306778427108284
180,0,6,405.0,59.306778427108284
180,0,6,406.0,59.306778427108284
180,0,6,407.0,59.306778427108284
93,0,3,408.0,59.306778427108284
90,0,3,409.0,59.51317281059043
93,0,3,410.0,59.862198465218434
93,0,3,411.0,59.862198465218434
93,0,3,412.0,61.473675339822215
90,0,3,413.0,61.473675339822215
90,0,3,414.0,59.51317281059043
90,0,3,415.0,59.51317281059043
70,0,4,416.0,59.51317281059043
68,0,4,417.0,59.51317281059043
70,0,4,418.0,59.51317281059043
70,0,3,419.0,59.51317281059043
70,0,3,420.0,59.306778427108284
68,0,3,421.0,59.51317281059043
68,0,4,422.0,61.473675339822215
68,0,3,423.0,59.862198465218434
160,0,7,424.0,59.862198465218434
158,0,7,425.0,59.862198465218434
160,0,7,426.0,59.306778427108284
160,0,6,427.0,59.306778427108284
160,0,6,428.0,59.306778427108284
158,0,6,429.0,59.306778427108284
158,0,7,430.0,59.306778427108284
158,0,6,431.0,59.306778427108284
115,0,2,432.0,59.51317281059043
23,0,2,433.0,61.473675339822215
115,0,2,434.0,59.862198465218434
115,0,5,435.0,59.51317281059043
115,0,5,436.0,61.473675339822215
23,0,5,437.0,59.306778427108284
23,0,2,438.0,59.51317281059043
23,0,5,439.0,59.51317281059043
25,0,5,440.0,59.306778427108284
113,0,5,441.0,61.473675339822215
25,0,5,442.0,59.306778427108284
25,0,2,443.0,59.306778427108284
25,0,2,444.0,59.306778427108284
113,0,2,445.0,59.51317281059043
113,0,5,446.0,59.51317281059043
113,0,2,447.0,59.51317281059043
28,0,6,448.0,59.306778427108284
189,0,6,449.0,61.473675339822215
28,0,6,450.0,59.51317281059043
28,0,3,451.0,59.51317281059043
28,0,3,452.0,61.473675339822215
189,0,3,453.0,61.473675339822215
189,0,6,454.0,59.51317281059043
189,0,3,455.0,59.51317281059043
118,0,3,456.0,59.862198465218434
99,0,3,457.0,61.473675339822215
118,0,3,458.0,61.473675339822215
118,0,6,459.0,61.473675339822215
118,0,6,460.0,59.306778427108284
99,0,6,461.0,59.306778427108284
99,0,3,462.0,59.51317281059043
99,0,6,463.0,59.306778427108284
163,0,5,464.0,61.473675339822215
144,0,5,465.0,59.306778427108284
163,0,5,466.0,59.862198465218434
163,0,7,467.0,59.862198465218434
163,0,7,468.0,61.473675339822215
144,0,7,469.0,59.51317281059043
144,0,5,470.0,59.51317281059043
144,0,7,471.0,59.51317281059043
73,0,2,472.0,59.862198465218434
54,0,2,473.0,59.51317281059043
73,0,2,474.0,59.51317281059043
73,0,4,475.0,59.51317281059043
73,0,4,476.0,59.306778427108284
54,0,4,477.0,59.51317281059043
54,0,2,478.0,59.51317281059043
54,0,4,479.0,59.51317281059043
96,0,4,480.0,59.862198465218434
31,0,4,481.0,59.306778427108284
96,0,4,482.0,59.51317281059043
96,0,2,483.0,61.473675339822215
96,0,2,484.0,59.51317281059043
31,0,2,485.0,59.51317281059043
31,0,4,486.0,59.306778427108284
31,0,2,487.0,59.51317281059043
186,0,7,488.0,59.306778427108284
121,0,7,489.0,61.473675339822215
186,0,7,490.0,59.306778427108284
186,0,5,491.0,59.306778427108284
186,0,5,492.0,59.51317281059043
121,0,5,493.0,59.306778427108284
121,0,7,494.0,59.862198465218434
121,0,5,495.0,59.51317281059043
141,0,2,496.0,59.306778427108284
76,0,2,497.0,59.862198465218434
141,0,2,498.0,59.862198465218434
141,0,6,499.0,59.306778427108284
141,0,6,500.0,59.51317281059043
76,0,6,501.0,59.306778427108284
76,0,2,502.0,59.306778427108284
76,0,6,503.0,59.306778427108284
51,0,5,504.0,61.473675339822215
166,0,5,505.0,59.862198465218434
51,0,5,506.0,61.473675339822215
51,0,3,507.0,59.306778427108284
51,0,3,508.0,59.862198465218434
166,0,3,509.0,59.306778427108284
166,0,5,510.0,59.306778427108284
166,0,3,511.0,59.306778427108284
62,0,3,512.0,59.862198465218434
110,0,3,513.0,59.51317281059043
62,0,3,514.0,59.862198465218434
62,0,4,515.0,61.473675339822215
62,0,4,516.0,59.862198465218434
110,0,4,517.0,59.862198465218434
110,0,3,518.0,59.306778427108284
110,0,4,519.0,59.51317281059043
152,0,6,520.0,61.473675339822215
20,0,6,521.0,59.306778427108284
152,0,6,522.0,59.862198465218434
152,0,7,523.0,59.51317281059043
152,0,7,524.0,59.51317281059043
20,0,7,525.0,59.306778427108284
20,0,6,526.0,59.862198465218434
20,0,7,527.0,59.306778427108284
197,0,4,528.0,61.30244742387646
155,0,4,529.0,59.862198465218434
197,0,4,530.0,58.982148174013496
197,0,5,531.0,56.70682220959319
197,0,5,532.0,57.27697322990849
155,0,5,533.0,61.473675339822215
155,0,4,534.0,61.473675339822215
155,0,5,535.0,59.306778427108284
107,0,7,536.0,59.51317281059043
65,0,7,537.0,59.862198465218434
107,0,7,538.0,59.51317281059043
107,0,2,539.0,59.51317281059043
107,0,2,540.0,59.51317281059043
65,0,2,541.0,59.862198465218434
65,0,7,542.0,61.30244742387646
65,0,2,543.0,58.982148174013496
84,0,5,544.0,59.306778427108284
87,0,5,545.0,58.982148174013496
84,0,5,546.0,59.51317281059043
84,0,3,547.0,59.51317281059043
84,0,3,548.0,61.30244742387646
87,0,3,549.0,58.982148174013496
87,0,5,550.0,56.70682220959319
87,0,3,551.0,56.70682220959319
174,0,2,552.0,59.306778427108284
177,0,2,553.0,59.306778427108284
174,0,2,554.0,61.30244742387646
174,0,6,555.0,57.27697322990849
174,0,6,556.0,61.30244742387646
177,0,6,557.0,59.306778427108284
177,0,2,558.0,57.27697322990849
177,0,6,559.0,57.27697322990849
129,0,7,560.0,59.306778427108284
42,0,7,561.0,61.473675339822215
129,0,7,562.0,61.473675339822215
129,0,5,563.0,61.473675339822215
129,0,5,564.0,61.30244742387646
42,0,5,565.0,59.862198465218434
42,0,7,566.0,59.306778427108284
42,0,5,567.0,58.982148174013496
39,0,4,568.0,59.306778427108284
132,0,4,569.0,61.30244742387646
39,0,4,570.0,58.982148174013496
39,0,2,571.0,61.473675339822215
39,0,2,572.0,61.30244742387646
132,0,2,573.0,59.306778427108284
132,0,4,574.0,59.306778427108284
132,0,2,575.0,59.306778427108284
34,0,6,576.0,59.306778427108284
82,0,6,577.0,57.27697322990849
34,0,6,578.0,61.473675339822215
34,0,6,579.0,56.70682220959319
34,0,6,580.0,57.27697322990849
82,0,6,581.0,59.51317281059043
82,0,6,582.0,59.862198465218434
82,0,6,583.0,61.473675339822215
124,0,3,584.0,61.473675339822215
172,0,3,585.0,57.27697322990849
124,0,3,586.0,59.306778427108284
124,0,3,587.0,61.30244742387646
124,0,3,588.0,61.30244742387646
172,0,3,589.0,57.27697322990849
172,0,3,590.0,56.70682220959319
172,0,3,591.0,59.862198465218434
169,0,7,592.0,56.70682220959319
37,0,7,593.0,56.70682220959319
169,0,7,594.0,57.27697322990849
169,0,2,595.0,59.306778427108284
169,0,2,596.0,59.51317281059043
37,0,2,597.0,61.473675339822215
37,0,7,598.0,59.306778427108284
37,0,2,599.0,61.30244742387646
79,0,4,600.0,59.862198465218434
127,0,4,601.0,57.27697322990849
79,0,4,602.0,61.473675339822215
79,0,5,603.0,59.51317281059043
79,0,5,604.0,56.70682220959319
127,0,5,605.0,59.862198465218434
127,0,4,606.0,59.51317281059043
127,0,5,607.0,56.70682220959319
101,0,2,608.0,59.51317281059043
149,0,2,609.0,61.30244742387646
101,0,2,610.0,56.70682220959319
101,0,7,611.0,56.70682220959319
101,0,7,612.0,61.30244742387646
149,0,7,613.0,56.70682220959319
149,0,2,614.0,57.27697322990849
149,0,7,615.0,58.982148174013496
191,0,5,616.0,57.27697322990849
59,0,5,617.0,61.473675339822215
191,0,5,618.0,59.862198465218434
191,0,4,619.0,61.473675339822215
191,0,4,620.0,59.862198465218434
59,0,4,621.0,61.473675339822215
59,0,5,622.0,56.70682220959319
59,0,4,623.0,59.862198465218434
146,0,4,624.0,57.27697322990849
194,0,4,625.0,59.862198465218434
146,0,4,626.0,57.27697322990849
146,0,3,627.0,57.27697322990849
146,0,3,628.0,57.27697322990849
194,0,3,629.0,59.51317281059043
194,0,4,630.0,56.70682220959319
194,0,3,631.0,56.70682220959319
56,0,7,632.0,58.982148174013496
104,0,7,633.0,57.27697322990849
56,0,7,634.0,57.27697322990849
56,0,6,635.0,61.30244742387646
56,0,6,636.0,59.51317281059043
104,0,6,637.0,61.473675339822215
104,0,7,638.0,56.70682220959319
104,0,6,639.0,58.982148174013496
45,0,3,640.0,59.51317281059043
48,0,3,641.0,56.70682220959319
45,0,3,642.0,57.27697322990849
45,0,5,643.0,61.30244742387646
45,0,5,644.0,61.30244742387646
48,0,5,645.0,59.306778427108284
48,0,3,646.0,57.27697322990849
48,0,5,647.0,58.982148174013496
135,0,6,648.0,61.473675339822215
138,0,6,649.0,61.473675339822215
135,0,6,650.0,61.30244742387646
135,0,2,651.0,61.473675339822215
135,0,2,652.0,61.473675339822215
138,0,2,653.0,61.30244742387646
138,0,6,654.0,57.27697322990849
138,0,2,655.0,59.306778427108284
180,0,2,656.0,61.473675339822215
93,0,2,657.0,56.70682220959319
180,0,2,658.0,59.51317281059043
180,0,4,659.0,59.862198465218434
180,0,4,660.0,58.982148174013496
93,0,4,661.0,59.862198465218434
93,0,2,662.0,57.27697322990849
93,0,4,663.0,59.862198465218434
90,0,5,664.0,58.982148174013496
183,0,5,665.0,56.70682220959319
90,0,5,666.0,57.27697322990849
90,0,7,667.0,56.70682220959319
90,0,7,668.0,56.70682220959319
183,0,7,669.0,56.70682220959319
183,0,5,670.0,56.70682220959319
183,0,7,671.0,56.70682220959319
68,0,7,672.0,57.27697322990849
161,0,7,673.0,58.982148174013496
68,0,7,674.0,61.30244742387646
68,0,6,675.0,59.306778427108284
68,0,6,676.0,57.27697322990849
161,0,6,677.0,56.70682220959319
161,0,7,678.0,56.70682220959319
161,0,6,679.0,56.70682220959319
158,0,4,680.0,59.51317281059043
71,0,4,681.0,59.306778427108284
158,0,4,682.0,56.70682220959319
158,0,3,683.0,57.27697322990849
158,0,3,684.0,56.70682220959319
71,0,3,685.0,56.70682220959319
71,0,4,686.0,61.473675339822215
71,0,3,687.0,61.30244742387646
113,0,6,688.0,59.306778427108284
116,0,6,689.0,59.306778427108284
113,0,6,690.0,56.70682220959319
113,0,4,691.0,56.70682220959319
113,0,4,692.0,59.862198465218434
116,0,4,693.0,61.473675339822215
116,0,6,694.0,59.306778427108284
116,0,4,695.0,59.306778427108284
23,0,3,696.0,56.70682220959319
26,0,3,697.0,56.70682220959319
23,0,3,698.0,59.306778427108284
23,0,7,699.0,58.982148174013496
23,0,7,700.0,57.27697322990849
26,0,7,701.0,59.306778427108284
26,0,3,702.0,58.982148174013496
26,0,7,703.0,61.473675339822215
24,0,5,704.0,59.306778427108284
139,0,5,705.0,57.27697322990849
24,0,5,706.0,59.862198465218434
24,0,5,707.0,56.70682220959319
24,0,5,708.0,59.306778427108284
139,0,5,709.0,58.982148174013496
139,0,5,710.0,59.51317281059043
139,0,5,711.0,61.30244742387646
114,0,2,712.0,61.30244742387646
49,0,2,713.0,58.982148174013496
114,0,2,714.0,61.473675339822215
114,0,2,715.0,56.70682220959319
114,0,2,716.0,59.51317281059043
49,0,2,717.0,56.70682220959319
49,0,2,718.0,56.70682220959319
49,0,2,719.0,58.982148174013496
159,0,7,720.0,59.51317281059043
184,0,7,721.0,59.306778427108284
159,0,7,722.0,57.27697322990849
159,0,4,723.0,57.27697322990849
159,0,4,724.0,57.27697322990849
184,0,4,725.0,59.306778427108284
184,0,7,726.0,59.306778427108284
184,0,4,727.0,59.306778427108284
69,0,4,728.0,59.51317281059043
94,0,4,729.0,59.51317281059043
69,0,4,730.0,61.30244742387646
69,0,7,731.0,61.30244742387646
69,0,7,732.0,58.982148174013496
94,0,7,733.0,59.51317281059043
94,0,4,734.0,61.30244742387646
94,0,7,735.0,59.306778427108284
91,0,2,736.0,61.30244742387646
72,0,2,737.0,61.30244742387646
91,0,2,738.0,61.30244742387646
91,0,5,739.0,59.306778427108284
91,0,5,740.0,58.982148174013496
72,0,5,741.0,61.473675339822215
72,0,2,742.0,56.70682220959319
72,0,5,743.0,58.982148174013496
181,0,5,744.0,59.862198465218434
162,0,5,745.0,59.862198465218434
181,0,5,746.0,59.51317281059043
181,0,2,747.0,59.51317281059043
181,0,2,748.0,59.51317281059043
162,0,2,749.0,61.30244742387646
162,0,5,750.0,59.306778427108284
162,0,2,751.0,61.473675339822215
136,0,3,752.0,61.473675339822215
27,0,3,753.0,59.51317281059043
136,0,3,754.0,61.473675339822215
136,0,3,755.0,61.473675339822215
136,0,3,756.0,59.51317281059043
27,0,3,757.0,57.27697322990849
27,0,3,758.0,61.30244742387646
27,0,3,759.0,59.862198465218434
46,0,6,760.0,59.862198465218434
117,0,6,761.0,56.70682220959319
46,0,6,762.0,57.27697322990849
46,0,6,763.0,56.70682220959319
46,0,6,764.0,59.51317281059043
117,0,6,765.0,58.982148174013496
117,0,6,766.0,58.982148174013496
117,0,6,767.0,59.862198465218434
58,0,3,768.0,59.862198465218434
173,0,3,769.0,61.473675339822215
58,0,3,770.0,57.27697322990849
58,0,7,771.0,59.862198465218434
58,0,7,772.0,61.473675339822215
